origin_name,destination_name
Kings Norton,Birmingham New Street
Birmingham New Street,Bescot Stadium
Wednesbury Parkway,The Hawthorns
The Hawthorns,Birmingham Snow Hill
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Birmingham Snow Hill,Solihull
Solihull,Birmingham Moor Street
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Birmingham Snow Hill,Solihull
Solihull,Birmingham Moor Street
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Birmingham Snow Hill,Solihull
Solihull,Birmingham Moor Street
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Birmingham Snow Hill,Solihull
Solihull,Birmingham Moor Street
Birmingham New Street,Bournville
Kings Norton,Birmingham New Street
Birmingham Snow Hill,Solihull
Solihull,Birmingham Moor Street
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Birmingham Moor Street,Solihull
Solihull,Birmingham Moor Street
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Birmingham Snow Hill,Birmingham Moor Street
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Birmingham Snow Hill,Solihull
Solihull,Birmingham Moor Street
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Birmingham Snow Hill,Solihull
Solihull,Birmingham Moor Street
Birmingham New Street,Bournville
Kings Norton,Birmingham New Street
Birmingham Snow Hill,Solihull
Solihull,Birmingham Moor Street
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Birmingham Snow Hill,Solihull
Solihull,Birmingham Moor Street
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Birmingham Snow Hill,Solihull
Solihull,Birmingham Moor Street
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Grand Central,Edgbaston Village
Edgbaston Village,Wolverhampton St George's
Birmingham Moor Street,Birmingham Snow Hill
Birmingham Snow Hill,Birmingham Moor Street
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Birmingham New Street,University
University,Kings Norton
Kings Norton,Birmingham New Street
Coventry,Birmingham New Street
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Birmingham New Street,London Euston
London Euston,Harlesden
Harlesden,London Euston
London Euston,Coventry
Tile Hill,Hampton-in-Arden
Hampton-in-Arden,Berkswell
Berkswell,Birmingham New Street
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Birmingham Snow Hill,Solihull
Solihull,Birmingham Moor Street
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Birmingham Snow Hill,Solihull
Solihull,Birmingham Moor Street
Birmingham New Street,Bournville
Kings Norton,Birmingham New Street
Grand Central,Bull Street
Birmingham Snow Hill,Solihull
Solihull,Birmingham Moor Street
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Grand Central,Bull Street
Birmingham Snow Hill,Solihull
Solihull,Birmingham Snow Hill
St Chads,Grand Central
Birmingham New Street,University
University,Kings Norton
Kings Norton,Birmingham New Street
Birmingham Moor Street,London Marylebone
Marylebone,Waterloo
London Waterloo,Portsmouth & Southsea
Portsmouth & Southsea,London Waterloo
Waterloo,Canary Wharf (LU)
Canary Wharf,London Paddington
Paddington,Marylebone
London Marylebone,Birmingham Moor Street
Birmingham New Street,Kings Norton
Kings Norton,Birmingham New Street
Birmingham Snow Hill,Solihull
Solihull,Dorridge
Dorridge,Birmingham Moor Street
Birmingham New Street,Kings Norton
